订单编号,日期,地区,城市,品类,销售员,客户类型,单价,数量,销售额,折扣率
SO-2025-03012,2025-04-02,西南,重庆,办公用品,陈静,老客,2060.03,18.0,37080.54,0.1709
SO-2025-01260,2025-04-06,华东,上海,数码配件,赵磊,新客,1667.62,7.0,11673.34,0.0
SO-2025-04054,2025-05-19,西南,成都,数码配件,黄霞,新客,527.63,17.0,8969.71,0.2166
SO-2025-02236,2025-06-18,华东,杭州,办公用品,杨帆,老客,2159.64,16.0,34554.24,0.0595
SO-2025-03775,2025-04-23,华北,北京,办公用品,陈静,新客,2723.12,6.0,16338.72,0.0
SO-2025-03054,2025-04-01,华南,广州,家居生活,徐鹏,新客,1144.14,2.0,2288.28,0.2437
SO-2025-03071,2025-03-03,东北,沈阳,数码配件,周涛,老客,768.87,9.0,6919.83,0.2306
SO-2025-01877,2025-04-16,华北,天津,办公用品,刘敏,新客,2182.54,20.0,43650.8,0.0554
SO-2025-04189,2025-05-23,华北,天津,数码配件,李娜,老客,2123.71,6.0,12742.26,0.1374
SO-2025-01583,2025-04-13,华东,南京,办公用品,赵磊,老客,220.61,1.0,220.61,0.0664
SO-2025-01755,2025-06-17,华南,广州,办公用品,周涛,老客,1653.21,5.0,8266.05,0.0465
SO-2025-02959,2025-01-17,东北,沈阳,数码配件,徐鹏,老客,2952.28,5.0,14761.4,0.0534
SO-2025-03898,2025-01-29,华东,南京,办公用品,张伟,老客,2280.04,9.0,20520.36,0.0309
SO-2025-01689,2025-03-15,华北,北京,数码配件,李娜,老客,416.0,2.0,832.0,0.0
SO-2025-01012,2025-05-05,华北,北京,数码配件,杨帆,老客,1380.49,7.0,9663.43,0.1426
SO-2025-02009,2025-05-14,华南,广州,办公用品,李娜,新客,1454.89,2.0,2909.78,0.178
SO-2025-03938,2025-04-09,华北,天津,家居生活,徐鹏,新客,2712.87,10.0,27128.7,0.0294
SO-2025-02221,2025-01-16,华北,北京,家居生活,孙丽,新客,494.01,2.0,988.02,0.1107
SO-2025-02611,2025-02-07,西南,成都,办公用品,张伟,老客,977.26,19.0,18567.94,0.0337
SO-2025-02198,2025-06-10,华东,杭州,办公用品,赵磊,新客,106.95,3.0,320.85,0.2569
SO-2025-01319,2025-05-03,西南,重庆,家居生活,张伟,新客,2381.14,4.0,9524.56,0.0
SO-2025-01713,2025-01-08,西南,重庆,办公用品,王强,老客,999.82,1.0,999.82,0.2543
SO-2025-04302,2025-05-23,东北,沈阳,数码配件,周涛,老客,31.47,1.0,31.47,0.217
SO-2025-04058,2025-04-25,华北,天津,数码配件,黄霞,新客,2583.39,15.0,38750.85,0.0202
SO-2025-01267,2025-06-14,东北,沈阳,家居生活,赵磊,新客,836.49,7.0,5855.43,0.1095
SO-2025-01772,2025-06-02,华南,广州,家居生活,黄霞,老客,462.72,7.0,3239.04,0.2336
SO-2025-00516,2025-03-23,华东,南京,家居生活,赵磊,老客,498.09,19.0,9463.71,0.0601
SO-2025-04142,2025-03-05,华东,南京,数码配件,黄霞,新客,355.71,11.0,3912.81,0.233
SO-2025-02849,2025-02-28,华北,北京,家居生活,周涛,老客,2472.84,8.0,19782.72,0.0
SO-2025-03828,2025-01-24,东北,沈阳,家居生活,孙丽,老客,2145.56,15.0,32183.4,0.0
SO-2025-03031,2025-04-08,华东,杭州,办公用品,陈静,老客,210.0,8.0,1680.0,0.2325
SO-2025-03159,2025-01-16,华东,南京,数码配件,赵磊,新客,2304.23,16.0,36867.68,0.1102
SO-2025-04159,2025-05-28,华东,南京,家居生活,刘敏,老客,2565.67,11.0,28222.37,0.1902
SO-2025-01401,2025-06-18,华东,南京,家居生活,吴倩,新客,610.02,10.0,6100.2,0.0
SO-2025-03329,2025-02-01,华东,上海,数码配件,李娜,新客,2077.37,2.0,4154.74,0.1764
SO-2025-04779,2025-05-31,华南,广州,数码配件,杨帆,新客,1932.66,,,0.1883
SO-2025-01873,2025-01-31,东北,沈阳,家居生活,刘敏,老客,393.57,,,0.1257
SO-2025-00188,2025-01-01,华南,广州,办公用品,徐鹏,新客,484.23,7.0,3389.61,0.096
SO-2025-02947,2025-02-13,西南,重庆,办公用品,杨帆,老客,1190.77,4.0,4763.08,0.0879
SO-2025-03962,2025-05-17,华南,广州,数码配件,周涛,老客,558.75,14.0,7822.5,0.2281
SO-2025-04097,2025-05-15,华南,深圳,数码配件,李娜,老客,1028.16,3.0,3084.48,0.0742
SO-2025-04031,2025-04-03,华北,天津,办公用品,黄霞,老客,948.63,18.0,17075.34,0.0587
SO-2025-03884,2025-04-25,东北,大连,办公用品,李娜,新客,1905.47,7.0,13338.29,0.2808
SO-2025-02776,2025-06-09,华南,深圳,数码配件,陈静,老客,2491.62,9.0,22424.58,0.0
SO-2025-02909,2025-06-18,华南,深圳,办公用品,孙丽,老客,2846.79,3.0,8540.37,0.0135
SO-2025-01854,2025-01-06,西南,重庆,数码配件,李娜,老客,2920.05,,,0.0553
SO-2025-03841,2025-02-15,华南,深圳,办公用品,孙丽,新客,2757.35,4.0,11029.4,0.1954
SO-2025-04391,2025-06-13,西南,重庆,办公用品,周涛,新客,230.41,,,0.0365
SO-2025-04800,2025-01-30,华北,天津,办公用品,黄霞,老客,1376.04,14.0,19264.56,0.1315
SO-2025-01956,2025-03-05,华北,天津,办公用品,赵磊,新客,2472.91,1.0,2472.91,0.0
SO-2025-01343,2025-01-03,华南,深圳,数码配件,李娜,新客,2670.93,8.0,21367.44,0.1528
SO-2025-00243,2025-03-02,华北,北京,家居生活,吴倩,老客,2297.0,11.0,25267.0,0.0463
SO-2025-03692,2025-05-18,华东,杭州,数码配件,黄霞,老客,1488.3,2.0,2976.6,0.0
SO-2025-02780,2025-06-23,华东,杭州,数码配件,赵磊,新客,1592.3,10.0,15923.0,0.0741
SO-2025-00492,2025-01-17,华南,广州,办公用品,周涛,老客,2396.43,6.0,14378.58,0.1606
SO-2025-03537,2025-06-27,华南,深圳,数码配件,黄霞,老客,988.09,17.0,16797.53,0.0
SO-2025-03562,2025-01-06,东北,沈阳,办公用品,王强,新客,1558.76,5.0,7793.8,0.043
SO-2025-00353,2025-05-02,华南,广州,数码配件,李娜,老客,1010.87,17.0,17184.79,0.0
SO-2025-02672,2025-06-26,华北,北京,家居生活,孙丽,新客,1492.43,1.0,1492.43,0.1447
SO-2025-03081,2025-05-12,华东,南京,数码配件,赵磊,老客,499.75,20.0,9995.0,0.0906
SO-2025-00892,2025-06-07,华东,上海,数码配件,杨帆,新客,2268.22,4.0,9072.88,0.1492
SO-2025-02472,2025-05-22,华南,深圳,家居生活,周涛,老客,2721.79,14.0,38105.06,0.2369
SO-2025-02643,2025-03-19,西南,成都,办公用品,徐鹏,老客,1747.54,8.0,13980.32,0.0
SO-2025-02393,2025-02-14,华东,南京,家居生活,李娜,新客,2677.34,8.0,21418.72,0.2036
SO-2025-00367,2025-06-12,华南,深圳,办公用品,李娜,老客,1911.74,10.0,19117.4,0.2163
SO-2025-00923,2025-04-13,华北,北京,家居生活,黄霞,老客,1512.38,19.0,28735.22,0.2802
SO-2025-00336,2025-04-18,华东,上海,办公用品,王强,老客,2714.82,9.0,24433.38,0.2255
SO-2025-01489,2025-01-26,华北,天津,办公用品,刘敏,新客,2259.72,8.0,18077.76,0.2899
SO-2025-04559,2025-06-27,华南,,数码配件,张伟,新客,2031.32,1.0,2031.32,0.0
SO-2025-02242,2025-02-15,华北,天津,数码配件,黄霞,新客,2456.35,16.0,39301.6,0.1987
SO-2025-04685,2025-01-13,华北,天津,办公用品,陈静,新客,2574.35,17.0,43763.95,0.1757
SO-2025-03723,2025-06-07,华北,天津,数码配件,李娜,老客,595.35,15.0,8930.25,0.0
SO-2025-02972,2025-04-10,华东,南京,家居生活,杨帆,新客,484.95,20.0,9699.0,0.0588
SO-2025-01829,2025-03-13,华北,北京,数码配件,王强,老客,1766.25,12.0,21195.0,0.1234
SO-2025-01379,2025-04-05,华北,天津,数码配件,吴倩,新客,2979.72,16.0,47675.52,0.261
SO-2025-03373,2025-05-19,华东,南京,办公用品,刘敏,新客,2751.75,9.0,24765.75,0.1453
SO-2025-02852,2025-05-28,西南,成都,数码配件,孙丽,新客,2346.03,16.0,37536.48,0.0
SO-2025-04664,2025-03-27,华南,广州,办公用品,黄霞,新客,787.54,13.0,10238.02,0.1048
SO-2025-01820,2025-02-04,东北,大连,数码配件,孙丽,新客,779.61,4.0,3118.44,0.1404
SO-2025-00041,2025-06-09,西南,重庆,办公用品,陈静,老客,2356.91,11.0,25926.01,0.1786
SO-2025-03811,2025-03-25,华东,南京,数码配件,徐鹏,老客,311.41,18.0,5605.38,0.1575
SO-2025-00013,2025-04-26,西南,重庆,数码配件,周涛,老客,2383.57,15.0,35753.55,0.1989
SO-2025-04621,2025-05-04,东北,沈阳,数码配件,孙丽,老客,2172.14,13.0,28237.82,0.2989
SO-2025-00298,2025-06-17,西南,重庆,办公用品,孙丽,新客,664.23,14.0,9299.22,0.2811
SO-2025-03755,2025-01-28,华北,北京,办公用品,黄霞,老客,689.82,12.0,8277.84,0.0118
SO-2025-03997,2025-04-04,华北,天津,家居生活,杨帆,老客,2972.56,3.0,8917.68,0.2207
SO-2025-03401,2025-01-30,西南,成都,办公用品,赵磊,新客,385.98,10.0,3859.8,0.0505
SO-2025-01230,2025-03-18,华东,南京,办公用品,杨帆,新客,1003.86,2.0,2007.72,0.268
SO-2025-01638,2025-06-24,华东,上海,办公用品,黄霞,新客,784.19,7.0,5489.33,0.252
SO-2025-03676,2025-02-14,华北,北京,数码配件,孙丽,老客,2496.76,2.0,4993.52,0.0665
SO-2025-04867,2025-05-05,华东,上海,办公用品,李娜,新客,2616.68,16.0,41866.88,0.1397
SO-2025-00315,2025-05-18,华北,天津,办公用品,周涛,老客,1561.18,4.0,6244.72,0.0583
SO-2025-04412,2025-04-10,华南,深圳,家居生活,吴倩,新客,2649.75,17.0,45045.75,0.0221
SO-2025-00941,2025-05-14,西南,重庆,办公用品,张伟,老客,832.53,4.0,3330.12,0.2314
SO-2025-00189,2025-02-01,华东,南京,办公用品,黄霞,新客,2215.99,19.0,42103.81,0.0902
SO-2025-02737,2025-03-19,华北,,办公用品,李娜,老客,305.46,2.0,610.92,0.2268
SO-2025-04453,2025-02-02,华南,广州,家居生活,赵磊,新客,145.74,3.0,437.22,0.1988
SO-2025-04095,2025-02-15,华北,北京,办公用品,张伟,老客,1405.9,13.0,18276.7,0.0808
SO-2025-03464,2025-06-22,华南,深圳,数码配件,陈静,老客,2148.31,9.0,19334.79,0.1027
SO-2025-04865,2025-06-12,华东,南京,家居生活,吴倩,老客,1749.91,17.0,29748.47,0.2723
SO-2025-01927,2025-01-21,华南,广州,数码配件,刘敏,新客,1275.92,13.0,16586.96,0.1409
SO-2025-03266,2025-02-25,华东,杭州,办公用品,赵磊,新客,2482.11,19.0,47160.09,0.2098
SO-2025-03523,2025-06-19,华北,天津,家居生活,黄霞,新客,1329.64,16.0,21274.24,0.0954
SO-2025-04879,2025-03-17,华北,天津,办公用品,王强,老客,2153.35,5.0,10766.75,0.2333
SO-2025-02681,2025-06-03,西南,重庆,数码配件,李娜,新客,715.7,20.0,14314.0,0.0
SO-2025-04241,2025-04-15,西南,成都,数码配件,黄霞,老客,2442.98,5.0,12214.9,0.0549
SO-2025-01838,2025-04-21,西南,成都,数码配件,刘敏,新客,2554.35,2.0,5108.7,0.2511
SO-2025-04463,2025-03-14,东北,沈阳,办公用品,王强,新客,1852.99,6.0,11117.94,0.2935
SO-2025-04092,2025-03-12,西南,成都,家居生活,周涛,新客,2692.31,1.0,2692.31,0.0264
